Dystans (m),Wysokość (m)
0.0,2017.272705078125
58.45509497532572,2017.962890625
116.91018995065144,2018.858276367188
175.36528492597716,2020.354858398438
233.82037990130289,2020.623413085938
292.2754748766286,2021.675415039062
350.73056985195433,2022.438110351562
409.18566482728005,2019.403076171875
467.64075980260577,2014.589721679688
526.0958547779314,2007.453247070312
584.5509497532572,2001.83837890625
643.006044728583,2019.066040039062
701.4611397039087,2026.137939453125
759.9162346792343,2029.166137695312
818.3713296545601,2031.048583984375
876.8264246298859,2032.3466796875
935.2815196052115,2033.755859375
993.7366145805372,2034.725341796875
1052.1917095558629,2033.432983398438
1110.6468045311888,2036.669799804688
1169.1018995065144,2038.114135742188
1227.55699448184,2040.0166015625
1286.012089457166,2041.263916015625
1344.4671844324916,2042.801635742188
1402.9222794078173,2044.949096679688
1461.377374383143,2044.918334960938
1519.8324693584686,2046.588134765625
1578.2875643337945,2048.233642578125
1636.7426593091202,2049.78466796875
1695.1977542844459,2050.661376953125
1753.6528492597718,2050.8359375
1812.1079442350974,2050.630615234375
1870.563039210423,2050.25634765625
1929.0181341857487,2047.541748046875
1987.4732291610744,2049.407470703125
2045.9283241364003,2054.015625
2104.3834191117257,2055.488037109375
2162.838514087052,2057.958984375
2221.2936090623775,2059.580322265625
2279.748704037703,2058.029296875
2338.203799013029,2056.546875
2396.6588939883545,2053.473388671875
2455.11398896368,2054.440673828125
2513.569083939006,2054.2734375
2572.024178914332,2055.84033203125
2630.4792738896576,2054.892822265625
2688.9343688649833,2053.869384765625
2747.389463840309,2052.31787109375
2805.8445588156346,2051.660888671875
2864.2996537909603,2050.71142578125
2922.754748766286,2049.8935546875
2981.2098437416116,2046.658447265625
3039.6649387169373,2043.402709960938
3098.1200336922634,2038.523193359375
3156.575128667589,2029.341796875
3215.0302236429147,2034.160034179688
3273.4853186182404,2041.485717773438
3331.940413593566,2050.088134765625
3390.3955085688917,2055.052490234375
3448.8506035442174,2058.33447265625
3507.3056985195435,2060.274169921875
3565.760793494869,2058.23681640625
3624.215888470195,2051.498779296875
3682.6709834455205,2055.977783203125
3741.126078420846,2058.671875
3799.581173396172,2061.20166015625
3858.0362683714975,2060.826904296875
3916.491363346823,2059.476318359375
3974.946458322149,2056.579345703125
4033.401553297475,2057.019775390625
4091.8566482728006,2054.5654296875
4150.311743248126,2048.28466796875
4208.7668382234515,2057.741943359375
4267.221933198778,2063.672607421875
4325.677028174104,2065.208251953125
4384.132123149429,2067.94677734375
4442.587218124755,2069.45556640625
4501.042313100081,2070.945556640625
4559.497408075406,2069.781982421875
4617.952503050732,2069.569580078125
4676.407598026058,2070.18505859375
4734.862693001383,2070.99072265625
4793.317787976709,2071.570068359375
4851.772882952035,2071.01416015625
4910.22797792736,2066.989990234375
4968.683072902686,2065.634033203125
5027.138167878012,2071.2392578125
5085.593262853337,2072.7890625
5144.048357828664,2074.810302734375
5202.50345280399,2077.054443359375
5260.958547779315,2078.012939453125
5319.413642754641,2078.924072265625
5377.868737729967,2079.41552734375
5436.323832705292,2080.10546875
5494.778927680618,2077.87744140625
5553.234022655944,2076.939697265625
5611.689117631269,2080.18994140625
5670.144212606595,2082.440673828125
5728.599307581921,2085.127197265625
5787.054402557246,2084.920166015625
5845.509497532572,2083.971923828125
5903.964592507898,2084.327880859375
5962.419687483223,2086.016845703125
6020.874782458549,2086.515869140625
6079.329877433875,2084.678466796875
6137.784972409201,2081.505615234375
6196.240067384527,2083.416015625
6254.6951623598525,2087.509521484375
6313.150257335178,2085.49267578125
6371.605352310504,2057.554443359375
6430.0604472858295,1989.546752929688
6488.515542261155,1957.609985351562
6546.970637236481,1879.1181640625
6605.4257322118065,1784.563842773438
6663.880827187132,1753.33154296875
6722.335922162458,1729.957275390625
6780.7910171377835,1685.088500976562
6839.246112113109,1633.130249023438
6897.701207088435,1599.41259765625
6956.15630206376,1563.640747070312
7014.611397039087,1525.271606445312
7073.066492014413,1500.767944335938
7131.521586989738,1488.274658203125
7189.976681965064,1479.339965820312
7248.43177694039,1345.522583007812
7306.886871915715,1344.410034179688
7365.341966891041,1323.209106445312
7423.797061866367,1306.041870117188
7482.252156841692,1307.301879882812
7540.707251817018,1323.478393554688
7599.162346792344,1360.3837890625
7657.617441767669,1348.444702148438
7716.072536742995,1309.473388671875
7774.527631718321,1300.353637695312
7832.982726693646,1355.760375976562
7891.437821668972,1470.248413085938
7949.892916644298,1479.363525390625
8008.348011619624,1485.506713867188
8066.80310659495,1483.430908203125
8125.258201570276,1488.396118164062
8183.713296545601,1441.651611328125
8242.168391520927,1310.604248046875
8300.623486496252,1293.2041015625
8359.078581471578,1312.506713867188
8417.533676446903,1349.661743164062
8475.98877142223,1380.376708984375
8534.443866397556,1297.509033203125
8592.89896137288,1261.523681640625
8651.354056348207,1234.361328125
8709.809151323532,1231.666748046875
8768.264246298859,1205.165771484375
8826.719341274184,1193.017822265625
8885.17443624951,1191.130737304688
8943.629531224835,1201.138061523438
9002.084626200161,1207.7822265625
9060.539721175486,1200.2041015625
9118.994816150813,1196.145874023438
9177.449911126138,1195.30029296875
9235.905006101464,1185.718627929688
9294.360101076789,1174.92529296875
9352.815196052115,1170.567260742188
9411.270291027442,1169.849731445312
9469.725386002767,1168.26953125
9528.180480978093,1180.470458984375
9586.635575953418,1178.355712890625
9645.090670928745,1152.803955078125
9703.54576590407,1138.482421875
9762.000860879396,1141.089965820312
9820.45595585472,1137.694458007812
9878.911050830047,1143.404052734375
9937.366145805372,1140.901489257812
9995.821240780699,1135.837524414062
10054.276335756023,1135.181884765625
10112.73143073135,1136.20849609375
10171.186525706675,1136.72802734375
10229.641620682001,1136.55078125
10288.096715657328,1137.972534179688
10346.551810632653,1140.800659179688
10405.00690560798,1143.645629882812
10463.462000583304,1145.343505859375
10521.91709555863,1142.119140625
10580.372190533955,1146.292114257812
10638.827285509282,1149.165771484375
10697.282380484607,1151.603149414062
10755.737475459933,1152.14892578125
10814.192570435258,1153.264038085938
10872.647665410585,1153.53173828125
10931.10276038591,1152.343017578125
10989.557855361236,1152.35888671875
11048.01295033656,1100.589721679688
11106.468045311887,1068.217895507812
11164.923140287212,1003.8994140625
11223.378235262539,947.2711181640625
11281.833330237865,868.2359619140625
11340.28842521319,814.1715087890625
11398.743520188516,781.369873046875
11457.198615163841,797.113037109375
11515.653710139168,823.477294921875
11574.108805114492,819.8636474609375
11632.563900089819,770.54736328125
11691.018995065144,767.1493530273438
11749.47409004047,890.2896118164062
11807.929185015795,836.646240234375
11866.384279991122,801.0510864257812
11924.839374966446,767.078369140625
11983.294469941773,771.8211059570312
12041.749564917098,774.7656860351562
12100.204659892424,761.6333618164062
12158.65975486775,763.5592041015625
12217.114849843076,741.7118530273438
12275.569944818402,734.0528564453125
12334.025039793727,733.9672241210938
12392.480134769054,734.4951782226562
12450.935229744378,756.678466796875
12509.390324719705,783.9043579101562
12567.84541969503,818.7957153320312
12626.300514670356,881.24560546875
12684.755609645681,955.5118408203125
12743.210704621008,987.7019653320312
12801.665799596332,988.2464599609375
12860.120894571659,979.7922973632812
12918.575989546984,968.5460815429688
12977.03108452231,954.1080932617188
13035.486179497635,914.85009765625
13093.941274472962,962.4032592773438
13152.396369448288,974.0109252929688
13210.851464423613,902.204833984375
13269.30655939894,895.9160766601562
13327.761654374264,889.9629516601562
13386.21674934959,906.9923095703125
13444.671844324916,865.1615600585938
13503.126939300242,855.7217407226562
13561.582034275567,846.5690307617188
13620.037129250893,806.5022583007812
13678.492224226218,856.4291381835938
13736.947319201545,835.0577392578125
13795.40241417687,784.7705078125
13853.857509152196,803.12744140625
13912.31260412752,811.0188598632812
13970.767699102847,816.6962890625
14029.222794078174,825.2952880859375
14087.677889053499,822.6061401367188
14146.132984028825,804.9700317382812
14204.58807900415,858.341796875
14263.043173979477,805.9802856445312
14321.498268954801,835.28369140625
14379.953363930128,937.861328125
14438.408458905453,898.3380126953125
14496.86355388078,840.6146850585938
14555.318648856104,822.9091796875
14613.77374383143,820.4155883789062
14672.228838806755,844.7935180664062
14730.683933782082,887.5591430664062
14789.139028757407,922.1046752929688
14847.594123732733,973.6369018554688
14906.049218708058,1124.277587890625
14964.504313683385,1081.137817382812
15022.959408658711,1015.23876953125
15081.414503634036,1046.321533203125
15139.869598609363,1117.509887695312
15198.324693584687,1129.051879882812
15256.779788560014,1127.682983398438
15315.234883535339,1119.608642578125
15373.689978510665,1126.186279296875
15432.14507348599,1099.76611328125
15490.600168461317,1085.681640625
15549.055263436641,1136.662109375
15607.510358411968,1150.087280273438
15665.965453387293,1154.5712890625
15724.42054836262,1162.805541992188
15782.875643337944,1168.373657226562
15841.33073831327,1181.265625
15899.785833288595,1198.759765625
15958.240928263922,1213.4140625
16016.696023239248,1236.008422851562
16075.151118214573,1253.15771484375
16133.6062131899,1268.8798828125
16192.061308165225,1281.382568359375
16250.516403140551,1264.627319335938
16308.971498115876,1282.911254882812
16367.426593091202,1271.668090820312
16425.88168806653,1245.618896484375
16484.336783041854,1239.646118164062
16542.79187801718,1223.515991210938
16601.246972992503,1205.219482421875
16659.70206796783,1181.356079101562
16718.157162943156,1159.707763671875
16776.61225791848,1189.963256835938
16835.067352893806,1206.139404296875
